mass_x,mass_y,tag,expected_m2sigma,expected_m1sigma,expected,expected_p1sigma,expected_p2sigma,observed
650,350,RunIII,0.08822,0.11995,0.17109000000000002,0.24816,0.34701000000000004,
750,500,RunIII,0.06396,0.08733,0.125,0.18230000000000002,0.25725,
800,450,RunIII,0.05197000000000001,0.07096000000000001,0.10156000000000001,0.14812,0.20776,
800,600,RunIII,0.07468000000000001,0.10112000000000002,0.14375000000000002,0.20678000000000002,0.28776,
950,400,RunIII,0.02698,0.03678,0.05312,0.07790000000000001,0.11025000000000001,
1000,700,RunIII,0.03481,0.04773,0.06855,0.10053000000000001,0.14185,
