mass_x,mass_y,tag,expected_m2sigma,expected_m1sigma,expected,expected_p1sigma,expected_p2sigma,observed
650,350,RunIII,0.00671,0.00895,0.01245,0.01732,0.02301,
950,400,RunIII,0.00419,0.00558,0.00776,0.01077,0.01433,
800,450,RunIII,0.00485,0.00645,0.00894,0.01246,0.01654,
750,500,RunIII,0.00506,0.00673,0.00933,0.01301,0.01726,
800,600,RunIII,0.00533,0.00712,0.00981,0.01369,0.01817,
1000,700,RunIII,0.00302,0.00399,0.00552,0.00772,0.0103,
