mass_x,mass_y,tag,expected_m2sigma,expected_m1sigma,expected,expected_p1sigma,expected_p2sigma,observed
650,350,RunIII,0.00615,0.00817,0.01133,0.01575,0.02094,
950,400,RunIII,0.00287,0.00383,0.00532,0.0074,0.00987,
800,450,RunIII,0.00387,0.00514,0.00713,0.00989,0.01316,
750,500,RunIII,0.00437,0.00581,0.00806,0.0112,0.01489,
800,600,RunIII,0.00427,0.0057,0.00786,0.01096,0.01455,
1400,600,RunIII,0.00147,0.00192,0.00269,0.00367,0.0049,
1000,700,RunIII,0.00156,0.00223,0.00327,0.00481,0.00662,
