mass_x,mass_y,tag,expected_m2sigma,expected_m1sigma,expected,expected_p1sigma,expected_p2sigma,observed
650,350,RunIII,0.06304,0.08571000000000001,0.12226999999999999,0.17734000000000003,0.24798,
750,500,RunIII,0.04977,0.06758,0.09727000000000001,0.14108,0.19848,
800,450,RunIII,0.03828,0.05226,0.0748,0.10880000000000001,0.15284,
800,600,RunIII,0.05499000000000001,0.07476000000000001,0.10664000000000001,0.15425,0.21469000000000002,
950,400,RunIII,0.018600000000000002,0.025500000000000002,0.03662000000000001,0.053700000000000005,0.07622000000000001,
1000,700,RunIII,0.02768,0.037590000000000005,0.05410000000000001,0.07869000000000001,0.11087000000000001,
