mass_x,mass_y,tag,expected_m2sigma,expected_m1sigma,expected,expected_p1sigma,expected_p2sigma,observed
650,350,RunIII,0.12704,0.17202,0.24453,0.35467,0.49596,
950,400,RunIII,0.05257,0.07109,0.10195,0.14909,0.21196,
800,450,RunIII,0.07974,0.10933,0.15703,0.22901,0.32317,
750,500,RunIII,0.10114,0.13884,0.19766,0.28747,0.40139,
800,600,RunIII,0.11164,0.15214,0.21328,0.30425,0.41722,
1000,700,RunIII,0.05902,0.08186,0.11992,0.18063,0.26546,
