mass_x,mass_y,tag,expected_m2sigma,expected_m1sigma,expected,expected_p1sigma,expected_p2sigma,observed
950,400,RunIII,0.00224,0.00298,0.00415,0.00577,0.00767,
800,450,RunIII,0.00313,0.00418,0.00581,0.00808,0.01081,
800,600,RunIII,0.00361,0.00481,0.00669,0.00928,0.01234,
1400,600,RunIII,0.00099,0.00132,0.00181,0.00253,0.00331,
1000,700,RunIII,0.00213,0.00284,0.00396,0.0055,0.00731,
