mass_x,mass_y,tag,expected_m2sigma,expected_m1sigma,expected,expected_p1sigma,expected_p2sigma,observed
650,350,mH125_RunIII,0.0916,0.12353,0.175,0.25103,0.34877,
950,400,mH125_RunIII,0.02607,0.03516,0.0498,0.07144,0.09926,
800,450,mH125_RunIII,0.06468,0.08688,0.12266,0.17497,0.24226,
750,500,mH125_RunIII,0.09421,0.12669,0.17734,0.25015,0.34051,
800,600,mH125_RunIII,0.11963,0.15757,0.21875,0.30507,0.41198,
1000,700,mH125_RunIII,0.06236,0.08327,0.11484,0.15925,0.21342,
