mass_x,mass_y,tag,expected_m2sigma,expected_m1sigma,expected,expected_p1sigma,expected_p2sigma,observed
650,350,mH125_RunIII,0.04379,0.05858,0.08242000000000001,0.11659,0.15795,
750,500,mH125_RunIII,0.03787,0.05093,0.07129,0.10084,0.13571,
800,450,mH125_RunIII,0.02915,0.039150000000000004,0.05527,0.07819000000000001,0.10663,
800,600,mH125_RunIII,0.04109,0.05497,0.07734,0.11033,0.1513,
950,400,mH125_RunIII,0.015160000000000002,0.020610000000000003,0.02939,0.04252,0.05954000000000001,
1000,700,mH125_RunIII,0.02382,0.03212,0.04551,0.06492,0.09017,
